,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,-0.09647179,-0.16129085,-0.061839834,0.051218104,0.1887894,0.02713276,0.06882584,-0.123431794,0.14187087,0.2715052,0.13482404,-0.3145333,-0.107356794,-0.0736943,-0.21295142,-0.14291494,-0.14569305,0.056722566,0.006157668,-0.06050467,0.17235242,-0.02835306,0.15925062,-0.057079706,-0.08867615,0.2157917,0.119127914,-0.07839045,0.115621716,-0.42735484,0.11432636,0.32294112,-0.12645666,-0.073740534,-0.12982891,-0.14717108,0.07731381,-0.24510793,-0.024780152,-0.1832682,-0.21375528,0.13275127,-0.049014654,0.079605,-0.035193704,-0.4497956,-0.17704989,-0.23339306,0.0800245
1,-0.09647179,1.0,-0.13190818,0.19726413,0.09406639,-0.063641444,0.2473468,0.1459758,-0.09965512,-0.055554114,0.025943033,-0.017833343,0.03485213,0.23179999,0.11235642,-0.09738797,-0.015902538,0.110336155,-0.15822405,-0.29114485,0.24305362,-0.042864136,-0.10587546,-0.03929541,0.13126448,-0.20172839,-0.18254943,-0.27304542,0.09346274,0.1089666,-0.25063527,-0.19900085,0.1062243,0.15914129,-0.09257146,-0.14437619,-0.3555149,0.115590736,-0.16963725,-0.2122566,-0.018590359,-0.24782966,-0.11282028,-0.029008064,0.3006483,0.28043804,-0.21997419,-0.033516586,-0.14213721,0.16139358
2,-0.16129085,-0.13190818,1.0,-0.11725986,0.13269193,0.07916898,-0.020188972,-0.4492291,-0.27238017,-0.019766416,0.04260802,-0.11263089,-0.03898341,-0.09180905,0.009401383,0.009411606,0.046287403,-0.12469279,-0.06706138,-0.21634474,-0.24136005,-0.08659377,0.16724306,-0.09856616,-0.07233026,-0.021596616,0.03174866,-0.04010862,0.039834365,-0.06120757,0.028909182,0.25280213,-0.15392074,0.0898076,0.06506054,0.030793937,0.11291758,-0.17047516,-0.10103534,-0.14852758,0.3139301,0.15423188,0.05823561,0.31231552,0.21960783,0.042662352,0.1884154,-0.094294235,-0.07405967,-0.028123816
3,-0.061839834,0.19726413,-0.11725986,1.0,0.08714999,-0.32633233,0.1724096,0.18775906,-0.017874524,-0.3403874,0.24702305,0.1700117,-0.12463455,0.15959533,0.011081573,-0.08442924,0.08421279,-0.24999267,-0.1902081,-0.28020278,0.21138275,-0.25738034,-0.06155648,0.012748846,-0.144095,-0.10620377,-0.124616094,0.17036423,-0.13528356,0.2269015,-0.011075456,0.067174174,0.09668722,-0.2585454,0.10643671,-0.3141105,0.009922007,-0.021391243,0.3263622,0.20202345,0.03430138,-0.12512136,-0.15624511,-0.2343561,0.17667603,0.14739698,0.058336217,0.03730192,-0.019920498,0.1271449
4,0.051218104,0.09406639,0.13269193,0.08714999,1.0,-0.0055099893,0.16059649,-0.05103016,0.25100932,0.2324472,0.10828916,-0.26200262,-0.09838511,-0.2262838,0.25941175,-0.30049238,-0.061002597,0.0205014,0.1208447,0.086190276,0.026444472,-0.14570753,-0.18733877,-0.017467575,0.12879476,-0.045408767,0.05012633,0.030111412,-0.34520677,-0.39103147,0.18774419,-0.033049125,0.20647438,-0.015074316,-0.35374302,0.1323924,0.21901354,-0.10499222,-0.29994678,-0.28758538,0.19689701,-0.25114045,0.16435392,-0.11910964,0.25546598,0.120448194,-0.04823142,0.07315318,-0.049438328,0.19868731
5,0.1887894,-0.063641444,0.07916898,-0.32633233,-0.0055099893,1.0,0.18676281,0.048672806,-0.1337476,0.1625767,-0.14291957,0.08438569,0.072320394,-0.04667821,-0.031149486,-0.056447655,-0.060785163,0.028756455,0.26042953,-0.022062669,9.179881e-05,-0.20363326,-0.0012033196,0.24365427,-0.08084014,0.18512173,0.07678238,-0.23207572,-0.1893391,-0.29586658,-0.32923996,-0.05812479,-0.07406955,-0.016758762,-0.24488153,0.21291342,0.06190719,0.06679635,-0.15486276,-0.005507687,-0.17349048,-0.21052375,0.15610005,-0.11402629,0.18389277,-0.0038099643,-0.16151273,-0.10429717,0.06915533,-0.123041905
6,0.02713276,0.2473468,-0.020188972,0.1724096,0.16059649,0.18676281,1.0,0.03211215,-0.04141225,-0.09423358,0.036435537,-0.40713564,-0.06428962,-0.03192921,-0.077379346,-0.016887855,-0.12459968,-0.061061427,0.028191209,-0.29284912,0.06317878,0.042210348,0.15074433,0.030516436,-0.14504598,-0.009318756,-0.21962608,-0.008493298,-0.18645786,0.025834847,-0.044666965,-0.31413224,0.1168865,0.11522696,-0.24909869,-0.02863968,-0.047919624,0.21888845,0.10888755,-0.15714878,-0.05046226,-0.13357846,0.13279578,-0.15916131,0.17085248,0.105277136,0.031486228,-0.020309916,0.013296042,0.078603186
7,0.06882584,0.1459758,-0.4492291,0.18775906,-0.05103016,0.048672806,0.03211215,1.0,0.22252676,0.05309515,0.066766664,-0.057255667,0.30256855,0.36022565,0.10781394,0.009880748,0.16009988,-0.22173016,-0.07177405,0.050166085,-0.14929506,0.016663462,-0.017954472,-0.032889936,-0.14396024,0.1315449,-0.37159622,-0.34769884,-0.08445527,0.29507855,0.09697662,-0.028294405,0.15316767,-0.023738936,-0.18201162,-0.010533739,-0.11440592,0.19428667,0.030275555,0.064820185,0.1665583,-0.39970908,0.015415769,-0.161818,-0.37812206,-0.2577522,-0.20715348,0.229295,-0.115130015,0.12868893
8,-0.123431794,-0.09965512,-0.27238017,-0.017874524,0.25100932,-0.1337476,-0.04141225,0.22252676,1.0,0.046219718,-0.14861313,0.12496358,0.18033072,0.24689944,-0.116046846,-0.11566474,-0.037181582,0.107966356,-0.1513368,0.07114137,-0.009119531,-0.2419039,0.03269688,-0.10219879,-0.23110408,-0.008987918,-0.0063778628,0.11256444,-0.1047142,0.09612315,0.24961224,-0.14241263,0.13681567,-0.10339689,-0.32890737,0.22957782,0.10495923,0.018881008,-0.036278278,-0.17917101,0.0018430422,0.004858533,-0.008480715,0.075540155,-0.30523506,-0.020608932,0.025108622,0.060218792,0.21872923,0.17838761
9,0.14187087,-0.055554114,-0.019766416,-0.3403874,0.2324472,0.1625767,-0.09423358,0.05309515,0.046219718,1.0,0.13122456,-0.17864324,0.0137167,0.0102833165,-0.3250333,-0.26002523,-0.11227005,-0.19970395,0.22749408,0.07492934,-0.042006142,0.1616189,0.04586637,0.13323414,0.09727353,-0.3303049,0.17513971,-0.122491546,-0.14859809,-0.18171896,0.19655488,0.08325708,0.18186662,-0.0068900627,0.16116887,0.19959387,-0.030454563,0.028245987,-0.16262701,-0.19837801,-0.012321681,-0.2767712,0.07490758,-0.222638,0.22793758,-0.091839515,-0.02534838,0.19795641,-0.08081324,0.08728209
