日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2016-12-30,'600705,中航资本,6.12,6.12,6.05,6.08,6.06,0.06,0.9901,0.3583,27296263,166138877.0,54935113687.9,46625532989.0
2016-12-29,'600705,中航资本,6.06,6.11,6.03,6.06,6.06,0.0,0.0,0.2703,20591180,124924306.0,54396534142.0,46168419920.5
2016-12-28,'600705,中航资本,6.06,6.13,6.04,6.06,6.05,0.01,0.1653,0.3633,27680568,168284622.0,54396534142.0,46168419920.5
2016-12-27,'600705,中航资本,6.05,6.12,6.04,6.1,6.12,-0.07,-1.1438,0.3177,24200470,147033605.0,54306770884.3,46092234409.1
2016-12-26,'600705,中航资本,6.12,6.12,5.95,6.08,6.09,0.03,0.4926,0.6922,52733620,317549224.0,54935113687.9,46625532989.0
2016-12-23,'600705,中航资本,6.09,6.2,6.08,6.2,6.2,-0.11,-1.7742,0.5049,38467284,236030903.0,54665823914.9,46396976454.8
2016-12-22,'600705,中航资本,6.2,6.23,6.18,6.22,6.23,-0.03,-0.4815,0.3501,26670825,165331916.0,55653219749.2,47235017080.4
2016-12-21,'600705,中航资本,6.23,6.25,6.2,6.2,6.19,0.04,0.6462,0.5521,42059871,261867721.0,55922509522.2,47463573614.7
2016-12-20,'600705,中航资本,6.19,6.28,6.13,6.27,6.26,-0.07,-1.1182,0.7524,57319440,354123004.0,55563456491.5,47158831569.0
2016-12-19,'600705,中航资本,6.26,6.36,6.24,6.29,6.3,-0.04,-0.6349,0.4487,34184317,215404196.0,56191799295.2,47692130148.9
2016-12-16,'600705,中航资本,6.3,6.35,6.26,6.3,6.31,-0.01,-0.1585,0.4161,31699206,199871450.0,56550852325.8,47996872194.6
2016-12-15,'600705,中航资本,6.31,6.4,6.27,6.28,6.29,0.02,0.318,0.556,42361503,267850875.0,56640615583.5,48073057706.0
2016-12-14,'600705,中航资本,6.29,6.4,6.28,6.35,6.36,-0.07,-1.1006,0.5827,44392478,281100904.0,56461089068.1,47920686683.2
2016-12-13,'600705,中航资本,6.36,6.42,6.28,6.35,6.4,-0.04,-0.625,0.6315,48111743,305404273.0,57089431871.8,48453985263.1
2016-12-12,'600705,中航资本,6.4,6.57,6.3,6.56,6.56,-0.16,-2.439,1.1095,84528923,541442257.0,57448484902.4,48758727308.8
2016-12-09,'600705,中航资本,6.56,6.61,6.53,6.53,6.56,0.0,0.0,0.5332,40618717,266813110.0,58884697025.0,49977695491.5
2016-12-08,'600705,中航资本,6.56,6.63,6.55,6.63,6.62,-0.06,-0.9063,0.4434,33777255,222247118.0,58884697025.0,49977695491.5
