日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2016-12-30,'002304,洋河股份,70.6,71.08,69.68,69.68,69.41,1.19,1.7145,0.2132,2680738,188706586.48,1.063933528e+11,88780064800.0
2016-12-29,'002304,洋河股份,69.41,69.94,68.91,69.13,69.3,0.11,0.1587,0.1262,1587133,110193785.98,1.0460003708e+11,87283630280.0
2016-12-28,'002304,洋河股份,69.3,69.63,68.27,68.61,68.72,0.58,0.844,0.1873,2354822,162478039.69,1.044342684e+11,87145304400.0
2016-12-27,'002304,洋河股份,68.72,68.97,68.5,68.89,68.8,-0.08,-0.1163,0.0918,1154666,79342384.27,1.0356021536e+11,86415949760.0
2016-12-26,'002304,洋河股份,68.8,68.83,67.55,67.55,68.52,0.28,0.4086,0.1308,1644655,112269371.22,1.036807744e+11,86516550400.0
2016-12-23,'002304,洋河股份,68.52,69.95,68.02,69.95,69.97,-1.45,-2.0723,0.1943,2443034,168069727.01,1.0325881776e+11,86164448160.0
2016-12-22,'002304,洋河股份,69.97,70.4,69.58,70.11,70.46,-0.49,-0.6954,0.165,2075299,145278927.43,1.0544395036e+11,87987834760.0
2016-12-21,'002304,洋河股份,70.46,71.12,70.31,70.45,70.63,-0.17,-0.2407,0.1653,2078447,146748609.79,1.0618237448e+11,88604013680.0
2016-12-20,'002304,洋河股份,70.63,71.3,70.23,71.1,71.41,-0.78,-1.0923,0.1517,1907090,134775508.38,1.0643856244e+11,88817790040.0
2016-12-19,'002304,洋河股份,71.41,72.36,69.78,70.02,70.29,1.12,1.5934,0.3895,4898137,350895519.55,1.0761401308e+11,89798646280.0
2016-12-16,'002304,洋河股份,70.29,70.78,69.29,69.9,70.14,0.15,0.2139,0.2838,3569170,249692910.05,1.0592618652e+11,88390237320.0
2016-12-15,'002304,洋河股份,70.14,72.97,69.4,72.52,72.49,-2.35,-3.2418,0.4825,6066997,428630090.26,1.0570013832e+11,88201611120.0
2016-12-14,'002304,洋河股份,72.49,73.77,72.3,73.0,72.71,-0.22,-0.3026,0.4882,6138936,448515053.26,1.0924156012e+11,91156754920.0
2016-12-13,'002304,洋河股份,72.71,73.31,70.11,70.3,70.2,2.51,3.5755,0.5509,6927508,499291776.42,1.0957309748e+11,91433406680.0
2016-12-12,'002304,洋河股份,70.2,72.7,69.75,72.29,72.17,-1.97,-2.7297,0.4213,5297938,378110858.09,1.057905576e+11,88277061600.0
2016-12-09,'002304,洋河股份,72.17,72.75,71.5,71.8,71.8,0.37,0.5153,0.344,4326398,312005831.25,1.0875932396e+11,90754352360.0
2016-12-08,'002304,洋河股份,71.8,73.65,71.16,71.5,71.29,0.51,0.7154,0.4601,5786340,418756708.4,1.082017384e+11,90289074400.0
2016-12-07,'002304,洋河股份,71.29,71.7,70.6,71.56,71.33,-0.04,-0.0561,0.2068,2600860,184932583.34,1.0743317452e+11,89647745320.0
2016-12-06,'002304,洋河股份,71.33,71.4,69.14,69.14,69.54,1.79,2.5741,0.2922,3674583,259531793.98,1.0749345404e+11,89698045640.0
2016-12-05,'002304,洋河股份,69.54,70.16,68.66,69.2,69.58,-0.04,-0.0575,0.1767,2221713,154707094.64,1.0479594552e+11,87447106320.0
2016-12-02,'002304,洋河股份,69.58,70.42,69.45,70.42,70.45,-0.87,-1.2349,0.2076,2611022,182136170.79,1.0485622504e+11,87497406640.0
2016-12-01,'002304,洋河股份,70.45,71.2,70.1,70.5,70.5,-0.05,-0.0709,0.2152,2705898,191047597.91,1.061673046e+11,88591438600.0
2016-11-30,'002304,洋河股份,70.5,71.45,70.32,71.06,71.54,-1.04,-1.4537,0.2637,3315643,234605135.5,1.06242654e+11,88654314000.0
2016-11-29,'002304,洋河股份,71.54,71.86,69.86,69.96,69.86,1.68,2.4048,0.6953,8743825,623028669.27,1.0780992152e+11,89962122320.0
2016-11-28,'002304,洋河股份,69.86,70.71,69.55,69.99,69.37,0.49,0.7064,0.3712,4668226,326943933.96,1.0527818168e+11,87849508880.0
2016-11-25,'002304,洋河股份,69.37,69.4,68.6,69.02,69.15,0.22,0.3181,0.1719,2162053,149246900.42,1.0453975756e+11,87233329960.0
2016-11-24,'002304,洋河股份,69.15,69.58,68.3,68.3,69.15,0.0,0.0,0.2301,2893795,199516884.6,1.042082202e+11,86956678200.0
2016-11-23,'002304,洋河股份,69.15,69.19,67.87,68.0,67.77,1.38,2.0363,0.315,3961232,271031580.33,1.042082202e+11,86956678200.0
2016-11-22,'002304,洋河股份,67.77,68.07,67.68,67.85,67.71,0.06,0.0886,0.1337,1681838,114041920.05,1.0212857676e+11,85221317160.0
2016-11-21,'002304,洋河股份,67.71,68.09,67.6,67.61,67.58,0.13,0.1924,0.0903,1135113,76963262.18,1.0203815748e+11,85145866680.0
2016-11-18,'002304,洋河股份,67.58,68.13,67.51,68.13,68.1,-0.52,-0.7636,0.1074,1350386,91527546.86,1.0184224904e+11,84982390640.0
2016-11-17,'002304,洋河股份,68.1,68.22,67.66,67.7,68.04,0.06,0.0882,0.0988,1242354,84480944.13,1.026258828e+11,85636294800.0
2016-11-16,'002304,洋河股份,68.04,68.35,68.0,68.19,68.35,-0.31,-0.4535,0.1121,1409589,95979629.33,1.0253546352e+11,85560844320.0
2016-11-15,'002304,洋河股份,68.35,68.55,67.3,67.69,67.69,0.66,0.975,0.1453,1826896,124217952.64,1.030026298e+11,85950671800.0
2016-11-14,'002304,洋河股份,67.69,68.3,67.27,68.0,68.0,-0.31,-0.4559,0.2135,2684170,181809949.19,1.0200801772e+11,85120716520.0
2016-11-11,'002304,洋河股份,68.0,68.29,67.66,68.1,67.84,0.16,0.2358,0.1224,1539799,104626975.13,1.02475184e+11,85510544000.0
2016-11-10,'002304,洋河股份,67.84,68.35,67.65,67.83,67.2,0.64,0.9524,0.1226,1542271,104721251.67,1.0223406592e+11,85309342720.0
