日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2016-12-30,'002252,上海莱士,23.09,23.25,22.81,23.05,23.05,0.04,0.1735,0.145,5331260,122392176.73,1.14659294749e+11,84924616848.6
2016-12-29,'002252,上海莱士,23.05,23.65,23.02,23.4,23.43,-0.38,-1.6219,0.2419,8896457,205776587.86,1.14460664529e+11,84777497547.0
2016-12-28,'002252,上海莱士,23.43,23.64,22.8,23.19,23.18,0.25,1.0785,0.2418,8894439,207324300.41,1.16347651623e+11,86175130912.2
2016-12-27,'002252,上海莱士,23.18,23.4,22.99,23.38,23.38,-0.2,-0.8554,0.2648,9737547,225146622.72,1.15106212745e+11,85255635277.2
2016-12-26,'002252,上海莱士,23.38,23.88,22.68,22.89,23.0,0.38,1.6522,0.4302,15824506,371485183.91,1.16099363847e+11,85991231785.2
2016-12-23,'002252,上海莱士,23.0,23.79,22.0,22.11,22.11,0.89,4.0253,0.3415,12559646,284944926.93,1.14212376753e+11,84593598420.0
2016-12-22,'002252,上海莱士,22.11,22.24,21.92,22.16,22.19,-0.08,-0.3605,0.1396,5133995,113353434.41,1.09792854348e+11,81320193959.4
2016-12-21,'002252,上海莱士,22.19,22.25,21.69,21.69,21.81,0.38,1.7423,0.2414,8879555,194589401.05,1.10190114789e+11,81614432562.6
2016-12-20,'002252,上海莱士,21.81,21.86,21.29,21.31,21.4,0.41,1.9159,0.2797,10285666,222031687.54,1.08303127695e+11,80216799197.4
2016-12-19,'002252,上海莱士,21.4,21.43,21.26,21.34,21.36,0.04,0.1873,0.1166,4284963,91557364.42,1.06267167935e+11,78628534198.0
2016-12-16,'002252,上海莱士,21.36,21.43,21.21,21.27,21.29,0.07,0.3288,0.074,2719381,57969109.67,1.06068537715e+11,78481564975.2
2016-12-15,'002252,上海莱士,21.29,21.49,21.25,21.25,21.45,-0.16,-0.7459,0.0696,2557237,54614299.37,1.05720934829e+11,78224368835.3
2016-12-14,'002252,上海莱士,21.45,21.45,21.1,21.31,21.32,0.13,0.6098,0.1097,4031407,85746571.21,1.06515455711e+11,78812245726.5
2016-12-13,'002252,上海莱士,21.32,21.33,20.88,21.0,21.03,0.29,1.379,0.0994,3652110,77289324.25,1.05869907495e+11,78334595752.4
2016-12-12,'002252,上海莱士,21.03,21.42,20.85,21.32,21.32,-0.29,-1.3602,0.1281,4707872,99479710.15,1.04429838396e+11,77269068887.1
2016-12-09,'002252,上海莱士,21.32,21.38,21.09,21.22,21.24,0.08,0.3766,0.1187,4362904,92762298.64,1.05869907495e+11,78334595752.4
2016-12-08,'002252,上海莱士,21.24,21.25,21.03,21.14,21.11,0.13,0.6158,0.1039,3818798,80714841.65,1.05472647054e+11,78040657306.8
2016-12-07,'002252,上海莱士,21.11,21.22,21.03,21.1,21.09,0.02,0.0948,0.0795,2919835,61560513.03,1.04827098837e+11,77563007332.7
2016-12-06,'002252,上海莱士,21.09,21.18,21.05,21.08,21.08,0.01,0.0474,0.0563,2069108,43634575.21,1.04727783727e+11,77489522721.3
2016-12-05,'002252,上海莱士,21.08,21.29,21.07,21.2,21.2,-0.12,-0.566,0.072,2646058,55936738.29,1.04678126172e+11,77452780415.6
2016-12-02,'002252,上海莱士,21.2,21.32,21.18,21.32,21.34,-0.14,-0.656,0.0848,3117473,66224308.92,1.05274016833e+11,77893688084.0
2016-12-01,'002252,上海莱士,21.34,21.4,21.28,21.39,21.39,-0.05,-0.2338,0.081,2976420,63480294.67,1.05969222605e+11,78408080363.8
2016-11-30,'002252,上海莱士,21.39,21.4,21.26,21.35,21.33,0.06,0.2813,0.0952,3496268,74566304.68,1.0621751038e+11,78591791892.3
2016-11-29,'002252,上海莱士,21.33,21.44,21.24,21.44,21.43,-0.1,-0.4666,0.1021,3750297,80034568.24,1.0591956505e+11,78371338058.1
2016-11-28,'002252,上海莱士,21.43,21.49,21.21,21.39,21.3,0.13,0.6103,0.1616,5938437,126789986.06,1.06416140601e+11,78738761115.1
2016-11-25,'002252,上海莱士,21.3,21.45,21.2,21.38,21.4,-0.1,-0.4673,0.0616,2262272,48139937.8,1.05770592384e+11,78261111141.0
2016-11-24,'002252,上海莱士,21.4,21.43,21.21,21.26,21.31,0.09,0.4223,0.1208,4439647,94674275.32,1.06267167935e+11,78628534198.0
2016-11-23,'002252,上海莱士,21.31,21.49,21.27,21.38,21.39,-0.08,-0.374,0.0801,2944436,62798828.05,1.05820249939e+11,78297853446.7
2016-11-22,'002252,上海莱士,21.39,21.54,21.25,21.25,21.13,0.26,1.2305,0.1904,6994969,149596065.21,1.0621751038e+11,78591791892.3
2016-11-21,'002252,上海莱士,21.13,21.25,21.04,21.25,21.15,-0.02,-0.0946,0.0899,3301634,69792515.63,1.04926413947e+11,77636491944.1
2016-11-18,'002252,上海莱士,21.15,21.33,21.11,21.22,21.22,-0.07,-0.3299,0.0611,2245073,47647850.43,1.05025729058e+11,77709976555.5
2016-11-17,'002252,上海莱士,21.22,21.38,21.15,21.3,21.31,-0.09,-0.4223,0.0836,3073465,65217812.96,1.05373331943e+11,77967172695.4
2016-11-16,'002252,上海莱士,21.31,21.54,21.31,21.35,21.3,0.01,0.0469,0.0935,3436960,73409053.41,1.05820249939e+11,78297853446.7
2016-11-15,'002252,上海莱士,21.3,21.48,21.29,21.48,21.5,-0.2,-0.9302,0.0998,3667203,78186154.03,1.05770592384e+11,78261111141.0
2016-11-14,'002252,上海莱士,21.5,21.52,21.25,21.38,21.4,0.1,0.4673,0.1345,4942768,105763749.0,1.06763743486e+11,78995957255.0
2016-11-11,'002252,上海莱士,21.4,21.47,21.32,21.42,21.5,-0.1,-0.4651,0.0996,3660982,78212106.57,1.06267167935e+11,78628534198.0
2016-11-10,'002252,上海莱士,21.5,21.64,21.33,21.39,21.38,0.12,0.5613,0.1071,3936601,84453975.39,1.06763743486e+11,78995957255.0
2016-11-09,'002252,上海莱士,21.38,21.52,21.19,21.52,21.52,-0.14,-0.6506,0.2047,7521722,160397319.89,1.06167852825e+11,78555049586.6
2016-11-08,'002252,上海莱士,21.52,21.52,21.01,21.02,21.04,0.48,2.2814,0.2477,9099341,193437393.15,1.06863058597e+11,79069441866.4
2016-11-07,'002252,上海莱士,21.04,21.31,21.0,21.31,21.24,-0.2,-0.9416,0.154,5658513,119162037.19,1.04479495951e+11,77305811192.8
2016-11-04,'002252,上海莱士,21.24,21.47,21.2,21.39,21.35,-0.11,-0.5152,0.0942,3460639,73768215.54,1.05472647054e+11,78040657306.8
2016-11-03,'002252,上海莱士,21.35,21.46,21.25,21.32,21.34,0.01,0.0469,0.133,4887609,104329653.45,1.0601888016e+11,78444822669.5
2016-11-02,'002252,上海莱士,21.34,21.55,21.19,21.55,21.54,-0.2,-0.9285,0.2116,7775348,165876482.38,1.05969222605e+11,78408080363.8
2016-11-01,'002252,上海莱士,21.54,21.8,21.44,21.76,21.72,-0.18,-0.8287,0.1919,7052652,151950679.45,1.06962373707e+11,79142926477.8
2016-10-31,'002252,上海莱士,21.72,21.83,21.58,21.8,21.82,-0.1,-0.4583,0.1462,5371137,116662798.62,1.07856209699e+11,79804287980.4
2016-10-28,'002252,上海莱士,21.82,21.96,21.74,21.96,21.9,-0.08,-0.3653,0.1422,5225792,114048543.8,1.0835278525e+11,80171711037.4
2016-10-27,'002252,上海莱士,21.9,22.19,21.85,22.19,22.13,-0.23,-1.0393,0.1562,5737425,126069248.74,1.08750045691e+11,80465649483.0
2016-10-26,'002252,上海莱士,22.13,22.17,21.93,22.1,22.05,0.08,0.3628,0.1675,6155986,135761177.58,1.09892169458e+11,81310722514.1
2016-10-25,'002252,上海莱士,22.05,22.24,22.01,22.24,22.19,-0.14,-0.6309,0.1397,5131253,113203026.9,1.09494909018e+11,81016784068.5
2016-10-24,'002252,上海莱士,22.19,22.49,22.0,22.17,22.13,0.06,0.2711,0.1,3674393,81432173.35,1.10190114789e+11,81531176348.3
2016-10-21,'002252,上海莱士,22.13,22.19,21.97,22.1,22.14,-0.01,-0.0452,0.1281,4708485,103933833.83,1.09892169458e+11,81310722514.1
2016-10-20,'002252,上海莱士,22.14,22.33,22.08,22.32,22.29,-0.15,-0.6729,0.0735,2698786,59871030.06,1.09941827014e+11,81347464819.8
2016-10-19,'002252,上海莱士,22.29,22.58,22.06,22.14,22.14,0.15,0.6775,0.1348,4953913,110812481.4,1.1068669034e+11,81898599405.3
2016-10-18,'002252,上海莱士,22.14,22.18,21.99,22.1,22.06,0.08,0.3626,0.0909,3341420,73810408.57,1.09941827014e+11,81347464819.8
2016-10-17,'002252,上海莱士,22.06,22.28,22.0,22.15,22.13,-0.07,-0.3163,0.112,4115501,91206122.19,1.09544566573e+11,81053526374.2
