日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2016-12-30,'000166,申万宏源,0.0,0.0,0.0,0.0,6.25,None,None,0.0,0,0.0,1.25353785738e+11,44995639187.5
2016-12-29,'000166,申万宏源,0.0,0.0,0.0,0.0,6.25,None,None,0.0,0,0.0,1.25353785738e+11,44995639187.5
2016-12-28,'000166,申万宏源,0.0,0.0,0.0,0.0,6.25,None,None,0.0,0,0.0,1.25353785738e+11,44995639187.5
2016-12-27,'000166,申万宏源,0.0,0.0,0.0,0.0,6.25,None,None,0.0,0,0.0,1.25353785738e+11,44995639187.5
2016-12-26,'000166,申万宏源,0.0,0.0,0.0,0.0,6.25,None,None,0.0,0,0.0,1.25353785738e+11,44995639187.5
2016-12-23,'000166,申万宏源,0.0,0.0,0.0,0.0,6.25,None,None,0.0,0,0.0,1.25353785738e+11,44995639187.5
2016-12-22,'000166,申万宏源,0.0,0.0,0.0,0.0,6.25,None,None,0.0,0,0.0,1.25353785738e+11,44995639187.5
2016-12-21,'000166,申万宏源,0.0,0.0,0.0,0.0,6.25,None,None,0.0,0,0.0,1.25353785738e+11,44995639187.5
2016-12-20,'000166,申万宏源,6.25,6.26,6.2,6.22,6.22,0.03,0.4823,0.5381,38738037,241364942.82,1.25353785738e+11,44995639187.5
2016-12-19,'000166,申万宏源,6.22,6.27,6.2,6.27,6.26,-0.04,-0.639,0.4842,34860979,217325954.18,1.24752087566e+11,44779660119.4
2016-12-16,'000166,申万宏源,6.26,6.31,6.22,6.28,6.29,-0.03,-0.4769,0.8021,57747234,361859059.72,1.25554351795e+11,45067632210.2
2016-12-15,'000166,申万宏源,6.29,6.34,6.24,6.26,6.28,0.01,0.1592,0.7218,51966861,326538223.63,1.26156049966e+11,45283611278.3
2016-12-14,'000166,申万宏源,6.28,6.37,6.27,6.36,6.36,-0.08,-1.2579,0.6306,45397707,286618846.15,1.25955483909e+11,45211618255.6
