日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2016-12-30,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-29,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-28,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-27,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-26,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-23,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-22,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-21,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-20,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-19,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-16,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-15,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-14,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-13,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-12,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-09,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-08,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-07,'300104,乐视网,0.0,0.0,0.0,0.0,35.8,None,None,0.0,0,0.0,70944148546.6,65911769611.4
2016-12-06,'300104,乐视网,35.8,39.22,35.01,39.1,38.85,-3.05,-7.8507,3.3841,62304282,2320994349.14,70944148546.6,65911769611.4
2016-12-05,'300104,乐视网,38.85,39.05,38.21,38.8,38.88,-0.03,-0.0772,1.6484,30349340,1172965409.89,76988272933.9,71527157804.6
2016-12-02,'300104,乐视网,38.88,39.3,37.71,38.0,38.05,0.83,2.1813,3.3621,61899772,2399916574.08,77047723337.8,71582391131.0
2016-12-01,'300104,乐视网,38.05,38.85,37.46,37.86,38.02,0.03,0.0789,1.5244,28066283,1068061328.05,75402928832.4,70054269098.1
2016-11-30,'300104,乐视网,38.02,38.97,37.81,38.25,38.05,-0.03,-0.0788,1.8415,33903863,1299622139.3,75343478428.5,69999035771.7
2016-11-29,'300104,乐视网,38.05,38.37,37.3,37.9,37.82,0.23,0.6081,1.7065,31417730,1189394278.48,75402928832.4,70054269098.1
2016-11-28,'300104,乐视网,37.82,38.37,37.55,38.37,38.39,-0.57,-1.4848,1.3941,25667079,972489528.81,74947142403.1,69630813595.1
2016-11-25,'300104,乐视网,38.39,38.8,37.5,37.58,37.55,0.84,2.237,2.0772,38243745,1464359434.9,76076700075.5,70680246798.4
2016-11-24,'300104,乐视网,37.55,38.29,37.46,37.7,37.82,-0.27,-0.7139,1.1345,20887523,789601587.29,74412088768.9,69133713656.6
2016-11-23,'300104,乐视网,37.82,38.5,37.53,38.15,38.16,-0.34,-0.891,1.8303,33696956,1279205096.0,74947142403.1,69630813595.1
2016-11-22,'300104,乐视网,38.16,38.18,37.1,37.5,37.25,0.91,2.443,1.7373,31984814,1204219595.95,75620913646.3,70256791295.3
2016-11-21,'300104,乐视网,37.25,37.96,36.88,37.7,37.91,-0.66,-1.741,1.6237,29893825,1116454005.48,73817584730.8,68581380391.8
2016-11-18,'300104,乐视网,37.91,38.44,37.7,38.17,38.19,-0.28,-0.7332,1.0148,18683518,711775209.5,75125493614.6,69796513574.5
2016-11-17,'300104,乐视网,38.19,38.85,38.19,38.49,38.96,-0.77,-1.9764,1.4099,25958691,997484191.28,75680364050.1,70312024621.8
2016-11-16,'300104,乐视网,38.96,40.88,38.8,40.5,39.1,-0.14,-0.3581,2.6048,47958143,1911778002.64,77206257747.9,71729680001.7
2016-11-15,'300104,乐视网,39.1,39.1,38.0,38.6,39.06,0.04,0.1024,1.9235,35414150,1367391983.11,77483692965.7,71987435525.3
2016-11-14,'300104,乐视网,39.06,39.91,38.4,38.54,38.38,0.68,1.7718,3.3682,62012227,2436777366.42,77404425760.6,71913791090.0
2016-11-11,'300104,乐视网,38.38,38.38,36.36,37.42,37.99,0.39,1.0266,3.4904,64262130,2389611542.19,76056883274.3,70661835689.5
2016-11-10,'300104,乐视网,37.99,38.6,37.95,38.45,38.12,-0.13,-0.341,1.3875,25544937,976028501.8,75284028024.7,69943802445.2
2016-11-09,'300104,乐视网,38.12,39.0,37.64,38.99,38.99,-0.87,-2.2313,1.7071,31429240,1202747023.94,75541646441.2,70183146860.0
2016-11-08,'300104,乐视网,38.99,39.28,37.7,38.0,37.85,1.14,3.0119,2.4487,45083769,1736109910.73,77265708151.7,71784913328.2
2016-11-07,'300104,乐视网,37.85,39.0,37.03,37.7,39.71,-1.86,-4.684,2.7271,50209551,1910606147.19,75006592806.9,69686046921.6
2016-11-04,'300104,乐视网,39.71,40.59,39.55,40.31,40.63,-0.92,-2.2643,1.4894,27420900,1094993412.48,78692517843.2,73110513163.9
2016-11-03,'300104,乐视网,40.63,40.92,39.39,39.9,41.01,-0.38,-0.9266,2.0078,36965065,1487836249.41,80515663560.0,74804335176.3
2016-11-02,'300104,乐视网,41.01,44.26,40.95,44.26,44.33,-3.32,-7.4893,2.8993,53379249,2259401802.52,81268702008.3,75503957311.8
2016-11-01,'300104,乐视网,44.33,44.39,44.06,44.1,44.15,0.18,0.4077,0.5027,9255549,409437988.62,87847880029.9,81616445443.4
2016-10-31,'300104,乐视网,44.15,44.4,43.95,44.14,44.15,0.0,0.0,0.4398,8097140,357103093.96,87491177607.1,81285045484.4
2016-10-28,'300104,乐视网,44.15,44.77,44.08,44.38,44.43,-0.28,-0.6302,0.6036,11112615,493000943.04,87491177607.1,81285045484.4
2016-10-27,'300104,乐视网,44.43,44.82,44.11,44.55,44.61,-0.18,-0.4035,0.4947,9107173,404748486.09,88046048042.6,81800556531.7
2016-10-26,'300104,乐视网,44.61,45.38,44.36,45.32,45.32,-0.71,-1.5666,0.8397,15459887,690833028.33,88402750465.5,82131956490.6
2016-10-25,'300104,乐视网,45.32,45.72,45.04,45.54,45.33,-0.01,-0.0221,0.6971,12835198,581708733.07,89809743355.6,83439145217.6
2016-10-24,'300104,乐视网,45.33,45.72,44.61,44.87,44.96,0.37,0.823,0.9219,16973474,766918372.85,89829560156.9,83457556326.4
2016-10-21,'300104,乐视网,44.96,45.99,44.81,45.0,44.5,0.46,1.0337,1.3075,24073377,1091817963.94,89096338509.9,82776345299.7
2016-10-20,'300104,乐视网,44.5,45.18,44.4,45.0,44.9,-0.4,-0.8909,0.6461,11894647,530746375.45,88184765651.5,81929434293.5
2016-10-19,'300104,乐视网,44.9,45.28,44.63,44.9,44.83,0.07,0.1561,0.7096,13064249,587368195.82,88977437702.3,82665878646.7
2016-10-18,'300104,乐视网,44.83,44.92,43.98,44.11,44.05,0.78,1.7707,0.7999,14727649,655412015.46,88838720093.4,82537000884.9
2016-10-17,'300104,乐视网,44.05,44.58,44.01,44.55,44.37,-0.32,-0.7212,0.4955,9121910,404190724.14,87293009594.4,81100934396.1
2016-10-14,'300104,乐视网,44.37,44.49,44.0,44.48,44.5,-0.13,-0.2921,0.5093,9376632,414630042.26,87927147235.0,81690089878.7
2016-10-13,'300104,乐视网,44.5,45.18,44.36,44.88,44.72,-0.22,-0.4919,0.6021,11085590,495205273.04,88184765651.5,81929434293.5
2016-10-12,'300104,乐视网,44.72,44.97,44.63,44.8,45.01,-0.29,-0.6443,0.5219,9608735,430005953.19,88620735279.4,82334478687.8
2016-10-11,'300104,乐视网,45.01,45.28,44.83,45.21,45.21,-0.2,-0.4424,0.5131,9447067,425376610.17,89195422516.3,82868400843.8
2016-10-10,'300104,乐视网,45.21,45.33,44.47,44.55,44.25,0.96,2.1695,0.7531,13865238,623609905.28,89591758541.7,83236623020.4
2016-09-30,'300104,乐视网,44.25,44.58,44.15,44.2,44.22,0.03,0.0678,0.4229,7785265,344944242.87,87689345619.8,81469156572.8
