日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2016-12-30,'000002,万 科Ａ,20.55,20.96,20.45,20.88,20.84,-0.29,-1.3916,0.2686,26115000,539245590.77,2.26854573621e+11,1.99832238753e+11
2016-12-29,'000002,万 科Ａ,20.84,21.32,20.7,21.29,21.2,-0.36,-1.6981,0.3312,32204601,673979866.04,2.30055927701e+11,2.02652255748e+11
2016-12-28,'000002,万 科Ａ,21.2,21.48,21.01,21.24,21.42,-0.22,-1.0271,0.3306,32151732,682434427.74,2.34030022421e+11,2.061529665e+11
2016-12-27,'000002,万 科Ａ,21.42,21.98,20.59,20.65,20.65,0.77,3.7288,0.7644,74330548,1584454683.36,2.36458635861e+11,2.08292289737e+11
2016-12-26,'000002,万 科Ａ,20.65,20.69,20.12,20.21,20.3,0.35,1.7241,0.3888,37812479,776896919.16,2.27958488821e+11,2.00804658406e+11
2016-12-23,'000002,万 科Ａ,20.3,20.67,20.25,20.47,20.61,-0.31,-1.5041,0.3336,32435908,662932535.27,2.2409478562e+11,1.9740118962e+11
2016-12-22,'000002,万 科Ａ,20.61,20.77,20.1,20.3,20.48,0.13,0.6348,0.5139,49971724,1023481829.32,2.27516922741e+11,2.00415690545e+11
2016-12-21,'000002,万 科Ａ,20.48,20.7,20.2,20.2,20.33,0.15,0.7378,0.5464,53130409,1085459325.6,2.2608183298e+11,1.99151544996e+11
2016-12-20,'000002,万 科Ａ,20.33,21.0,20.15,21.0,21.1,-0.77,-3.6493,0.7395,71906542,1473706467.06,2.2442596018e+11,1.97692915516e+11
2016-12-19,'000002,万 科Ａ,21.1,22.0,21.04,22.0,22.46,-1.36,-6.0552,0.7204,70048497,1497453235.84,2.32926107221e+11,2.05180546846e+11
2016-12-16,'000002,万 科Ａ,22.46,22.75,22.12,22.12,22.33,0.13,0.5822,0.3023,29397618,660797240.03,2.47939353942e+11,2.18405454131e+11
2016-12-15,'000002,万 科Ａ,22.33,22.62,21.88,22.15,22.29,0.04,0.1795,0.3657,35562867,792479117.52,2.46504264182e+11,2.17141308582e+11
2016-12-14,'000002,万 科Ａ,22.29,22.9,22.2,22.67,23.06,-0.77,-3.3391,0.4245,41281457,931538268.11,2.46062698102e+11,2.16752340721e+11
2016-12-13,'000002,万 科Ａ,23.06,23.28,21.86,23.02,23.26,-0.2,-0.8598,0.4982,48450098,1098531810.38,2.54562845143e+11,2.24239972051e+11
2016-12-12,'000002,万 科Ａ,23.26,24.78,23.07,24.78,24.81,-1.55,-6.2475,0.8114,78901945,1865280414.06,2.56770675543e+11,2.26184811358e+11
2016-12-09,'000002,万 科Ａ,24.81,25.17,24.37,24.61,24.74,0.07,0.2829,0.4953,48168045,1193735856.08,2.73881361145e+11,2.41257315984e+11
2016-12-08,'000002,万 科Ａ,24.74,25.13,24.7,25.1,25.14,-0.4,-1.5911,0.3913,38055084,944277034.9,2.73108620505e+11,2.40576622226e+11
2016-12-07,'000002,万 科Ａ,25.14,25.37,24.18,25.35,25.38,-0.24,-0.9456,0.5087,49462389,1230395717.08,2.77524281305e+11,2.4446630084e+11
2016-12-06,'000002,万 科Ａ,25.38,25.63,25.15,25.15,25.5,-0.12,-0.4706,0.3666,35645541,903470472.73,2.80173677785e+11,2.46800108008e+11
2016-12-05,'000002,万 科Ａ,25.5,25.98,24.86,25.08,26.45,-0.95,-3.5917,0.7086,68906336,1757025448.35,2.81498376026e+11,2.47967011592e+11
2016-12-02,'000002,万 科Ａ,26.45,26.85,26.37,26.71,26.97,-0.52,-1.9281,0.5304,51572972,1367269531.1,2.91985570426e+11,2.57204998298e+11
2016-12-01,'000002,万 科Ａ,26.97,27.3,26.3,26.56,26.98,-0.01,-0.0371,0.9771,95017059,2546519579.31,2.97725929467e+11,2.62261580495e+11
2016-11-30,'000002,万 科Ａ,26.98,27.99,26.77,27.35,26.16,0.82,3.1346,1.227,119318381,3258833180.43,2.97836320987e+11,2.6235882246e+11
2016-11-29,'000002,万 科Ａ,26.16,26.53,25.9,26.17,26.38,-0.22,-0.834,0.8027,78060059,2049384794.1,2.88784216346e+11,2.54384981303e+11
2016-11-28,'000002,万 科Ａ,26.38,27.42,25.48,27.36,27.2,-0.82,-3.0147,1.2916,125593915,3329673914.87,2.91212829786e+11,2.56524304541e+11
2016-11-25,'000002,万 科Ａ,27.2,27.6,26.71,26.79,26.93,0.27,1.0026,0.6643,64594659,1759275499.47,3.00264934427e+11,2.64498145698e+11
2016-11-24,'000002,万 科Ａ,26.93,27.19,26.7,27.08,27.22,-0.29,-1.0654,0.4239,41224639,1109119614.83,2.97284363387e+11,2.61872612634e+11
2016-11-23,'000002,万 科Ａ,27.22,28.07,26.98,27.9,27.3,-0.08,-0.293,0.7619,74090683,2029094560.48,3.00485717467e+11,2.64692629628e+11
