日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2016-12-30,'600019,宝钢股份,6.35,6.43,6.29,6.31,6.29,0.06,0.9539,0.301,49432921,314911809.0,1.04459999512e+11,1.04294170532e+11
2016-12-29,'600019,宝钢股份,6.29,6.34,6.18,6.22,6.24,0.05,0.8013,0.2277,37404105,234427272.0,1.03472975895e+11,1.03308713803e+11
2016-12-28,'600019,宝钢股份,6.24,6.32,6.2,6.23,6.2,0.04,0.6452,0.2751,45178647,282942064.0,1.02650456214e+11,1.02487499862e+11
2016-12-27,'600019,宝钢股份,6.2,6.24,6.17,6.23,6.2,0.0,0.0,0.208,34164729,212043650.0,1.01992440469e+11,1.01830528709e+11
2016-12-26,'600019,宝钢股份,6.2,6.29,6.1,6.25,6.32,-0.12,-1.8987,0.3414,56066104,345473122.0,1.01992440469e+11,1.01830528709e+11
2016-12-23,'600019,宝钢股份,6.32,6.38,6.18,6.31,6.32,0.0,0.0,0.3432,56372204,353415830.0,1.03966487704e+11,1.03801442168e+11
2016-12-22,'600019,宝钢股份,6.32,6.44,6.28,6.39,6.42,-0.1,-1.5576,0.4009,65852369,417036471.0,1.03966487704e+11,1.03801442168e+11
2016-12-21,'600019,宝钢股份,6.42,6.48,6.32,6.37,6.37,0.05,0.7849,0.3789,62239581,398694133.0,1.05611527066e+11,1.0544387005e+11
2016-12-20,'600019,宝钢股份,6.37,6.56,6.23,6.56,6.57,-0.2,-3.0441,0.5103,83816357,530320221.0,1.04789007385e+11,1.04622656109e+11
2016-12-19,'600019,宝钢股份,6.57,6.65,6.43,6.46,6.5,0.07,1.0769,0.3687,60548618,398741430.0,1.0807908611e+11,1.07907511874e+11
2016-12-16,'600019,宝钢股份,6.5,6.67,6.49,6.64,6.7,-0.2,-2.9851,0.4888,80289746,526027642.0,1.06927558556e+11,1.06757812356e+11
2016-12-15,'600019,宝钢股份,6.7,6.83,6.6,6.75,6.87,-0.17,-2.4745,0.6463,106157608,709673364.0,1.10217637281e+11,1.10042668121e+11
2016-12-14,'600019,宝钢股份,6.87,7.2,6.75,7.05,7.19,-0.32,-4.4506,0.8439,138597417,970498014.0,1.13014204197e+11,1.12834795521e+11
2016-12-13,'600019,宝钢股份,7.19,7.25,6.78,6.83,6.9,0.29,4.2029,0.8691,142743896,1013525832.0,1.18278330157e+11,1.18090564745e+11
2016-12-12,'600019,宝钢股份,6.9,7.42,6.87,6.9,6.9,0.0,0.0,1.0527,172900974,1233836404.0,1.13507716006e+11,1.13327523886e+11
2016-12-09,'600019,宝钢股份,6.9,7.04,6.35,6.53,6.6,0.3,4.5455,0.9789,160771669,1081422101.0,1.13507716006e+11,1.13327523886e+11
